iter	Passed	Remaining
0	1	115
1	3	148
2	4	131
3	4	117
4	5	113
5	6	109
6	7	105
7	8	103
8	9	100
9	11	100
10	12	99
11	13	97
12	14	95
13	15	94
14	16	95
15	17	94
16	19	93
17	20	91
18	20	89
19	21	87
20	22	86
21	23	84
22	24	82
23	25	81
24	26	80
25	27	78
26	28	78
27	29	76
28	30	75
29	31	74
30	32	73
31	33	71
32	34	70
33	35	68
34	36	67
35	37	65
36	38	65
37	39	64
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	50	48
51	51	47
52	52	46
53	53	45
54	53	44
55	54	42
56	55	41
57	56	40
58	57	40
59	58	39
60	59	38
61	60	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	89	8
91	91	7
92	92	6
93	93	5
94	93	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
